Date,Max Temp (C),Min Temp (C),Avg Temp (C)
2024-02-08,11.1,8.2,9.283333333333331
2024-02-09,12.3,8.5,9.941666666666665
2024-02-10,10.5,6.6,8.262499999999998
2024-02-11,6.2,4.6,5.3374999999999995
2024-02-12,8.3,2.0,4.8625
2024-02-13,6.4,3.6,4.958333333333334
2024-02-14,3.9,1.8,3.0624999999999996
